Dateiname,Originalgröße (Bytes),Kodierte Größe (Bytes),Kodierungszeit (ms),Dekodierungszeit (ms)
ad_vl.pdf,406458,402253,1859,1092
List.use,1961,1408,8,5
shakespeare.txt,1665,1226,6,6
bewerbung.docx,199926,199347,765,528
7zip.exe,1110476,1109735,3415,2505
